nama_rumah,kamar_mandi,kamar_tidur,luas_m2,harga,harga_m2,alamat,link
Tanah Kusir  cocok untuk usaha kost2an,9,8,500,12000000000,38216561,"Tanah Kusir, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-tanah-kusir-cocok-untuk-usaha-kost2an-oleh-nola-18906262
Rumah mewah pondok indah,0,0,300,12000000000,55813953,"Pondok indah, Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-mewah-pondok-indah-oleh-vina-18844651
South Grove SIAP HUNI Furnished,4,3,378,11770000000,56586538,"South Grove Jln Simtupang, Cilandak, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-south-grove-siap-huni-furnished-oleh-theresia-valentina-13313375
Lebak Bulus Adiyaksa Area Premium Layak Huni Best Price,5,5,435,11700000000,18000000,"Lebak Bulus, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-lebak-bulus-adiyaksa-area-premium-layak-huni-best-price-oleh-nizar-luthfi-18050971
RUMAH DAN TANAH KAVLING DI JUAL DI KEMANG AMPERA AREA LOKASI STRATEGIS CLUSTER ASRI SELUAS 1. 4 HA,6,6,568,11561000000,51154867,"Ampera, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-dan-tanah-kavling-di-jual-di-kemang-ampera-area-lokasi-strategis-cluster-asri-seluas-1-4-ha-oleh-abdullah-rifky-said-ss-16575476
Rumah Secondary Pasar Minggu Jakarta Selatan,1,5,650,11500000000,9680135,"Pasar Minggu, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-secondary-pasar-minggu-jakarta-selatan-oleh-bella-18889269
Cipete Selatan Siap Huni Best Price,3,5,500,11500000000,34023669,"Cipete, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-cipete-selatan-siap-huni-best-price-oleh-nizar-luthfi-18094036
DIJUAL CEPAT RUMAH SIAP HUNI PONDOK INDAH,3,3,185,11500000000,37953795,"Pondok Indah, Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dijual-cepat-rumah-siap-huni-pondok-indah-oleh-raharja-hadi-bastari-18201497
DIJUAL CEPAT RUMAH LAMA LOKASI PREMIUM CILANDAK BELAKANG CITOS,4,4,280,11500000000,23958333,"Cilandak, Cilandak, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dijual-cepat-rumah-lama-lokasi-premium-cilandak-belakang-citos-oleh-raharja-hadi-bastari-17577832
"5 Bedrooms Rumah Pejaten, Jakarta Selatan, DKI Jakarta",5,5,650,11500000000,9680135,"Pejaten, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-5-bedrooms-rumah-pejaten-jakarta-selatan-dki-jakarta-oleh-heppy-16992308
Cinere,5,5,750,11500000000,11057692,"Cinere raya, Cinere, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-cinere-oleh-ridwan-18912717
Kebayoran Baru Dekat Senayan City Dalam Komplek Elit Bebas Banjir,5,6,450,11500000000,35384615,"Kebayoran Baru, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-kebayoran-baru-dekat-senayan-city-dalam-komplek-elit-bebas-banjir-oleh-nizar-luthfi-18518656
Dijual Rumah di Pejaten Jakarta Selatan,8,7,550,11500000000,9680135,"Pejaten Timur, Pejaten, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dijual-rumah-di-pejaten-jakarta-selatan-oleh-karia-rambitan-17406043
Rumah Kost Manggarai,10,10,1200,11500000000,22637795,"Jalan Padang Jakarta Selatan, Sultan Agung, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-kost-manggarai-oleh-christin-sitompul-17754568
Jual Rumah Pondok Indah Siap Huni,2,3,300,11400000000,44881890,"Alam Permai, Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-jual-rumah-pondok-indah-siap-huni-oleh-wisnuwardana-17895609
"3 Bedrooms Rumah Pondok Indah, Jakarta Selatan, DKI Jakarta",3,3,300,11400000000,44881890,"Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-3-bedrooms-rumah-pondok-indah-jakarta-selatan-dki-jakarta-oleh-arie-yudha-18851759
Judul dijual Rumah New Brand Radio dalam jl antena 6,0,6,800,11300000000,25681818,"Radio Dalam, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-judul-dijual-rumah-new-brand-radio-dalam-jl-antena-6-oleh-dewi-sabina-18926057
Rumah bagus classic 1 lantai,2,3,280,11000000000,27500000,"Jl siaga II, Pejaten, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-bagus-classic-1-lantai-oleh-gusti-pamungkas-18927394
Rumah tua di Pondok Indah harga menarik,2,3,250,11000000000,28871391,"Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-tua-di-pondok-indah-harga-menarik-oleh-arie-yudha-17969695
Dijual Rumah Lokasi Cipete Jakarta Selatan,2,3,300,11000000000,31884058,"Cipete, Cipete, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dijual-rumah-lokasi-cipete-jakarta-selatan-oleh-nurul-laela-roswati-s-psi-17912955
DIBAWAH NJOP! RUMAH at KEMANG SELATAN DKT PONDOK INDAH CIPETE CILANDAK FATMAWATI,3,3,700,11000000000,11891892,"Kemang, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dibawah-njop-rumah-at-kemang-selatan-dkt-pondok-indah-cipete-cilandak-fatmawati-oleh-verly-18930122
Lebak Bulus Raya,3,6,500,11000000000,18333333,"Lebak Bulus Raya, Lebak Bulus, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-lebak-bulus-raya-oleh-aci-wardhani-17370106
"Lebak Bulus, Rumah asri dalam komplek",3,5,340,11000000000,21359223,"Jalan Karang Tengah Raya, Lebak Bulus, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-lebak-bulus-rumah-asri-dalam-komplek-oleh-agungan-alam-bastari-18918570
Rumah Siap Huni Dijual Cepat di Lebak Bulus,3,5,340,11000000000,21359223,"Rumah Siap Huni Dijual di Vila Delima Lebak Bulus, Lebak Bulus, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-siap-huni-dijual-cepat-di-lebak-bulus-oleh-widyastuti-setyaningrum-18693176
Jatipadang,3,4,374,11000000000,29411765,"Jatipadang Jakarta Selatan, Jati Padang, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-jatipadang-oleh-ahmad-sofwan-18922681
"4 Bedrooms Rumah Pondok Indah, Jakarta Selatan, DKI Jakarta",3,4,300,11000000000,33232628,"Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-4-bedrooms-rumah-pondok-indah-jakarta-selatan-dki-jakarta-oleh-arie-yudha-18926181
Rumah Siap Huni Dalam Lingkungan Komplek Di Cipete,3,5,300,11000000000,34375000,"Cipete, Cipete, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-siap-huni-dalam-lingkungan-komplek-di-cipete-oleh-remmi-michael-17445825
Kebayoran Baru Gandaria dalam komplek Elit Best Price !,3,5,280,11000000000,45833333,"Kebayoran Baru, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-kebayoran-baru-gandaria-dalam-komplek-elit-best-price-oleh-nizar-luthfi-18264553
Dijual Cepat Rumah Mewah Berkonsep Tradisional Modern Yang Nyaman dan Elegan di Cipete - Kemang,3,4,400,11000000000,48458150,"Cipete, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dijual-cepat-rumah-mewah-berkonsep-tradisional-modern-yang-nyaman-dan-elegan-di-cipete-kemang-oleh-achmad-fauzan-18191854
Jagakarsa,4,3,550,11000000000,10000000,"Jagakarsa, Jagakarsa, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-jagakarsa-oleh-astrid-18887928
Cilandak Greenhil,4,4,620,11000000000,23109244,"Jl. Pringgodani, Jagakarsa, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-cilandak-greenhil-oleh-agus-faisal-18867493
"Dijual Brand New Rumah di Pejaten Barat, Kemang Jakart Selatan",4,5,250,11000000000,27500000,"Pejaten Barat Ujung, Kemang Jakarta Selatan, Pejaten, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dijual-brand-new-rumah-di-pejaten-barat-kemang-jakart-selatan-oleh-meity-18771257
"Brandnew House , Modern American Classic, Lokasi di Lebak Bulus",4,4,300,11000000000,36666667,"Lebak Bulus, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-brandnew-house-modern-american-classic-lokasi-di-lebak-bulus-oleh-bayu-widhi-handoko-18925450
RUMAH DENGAN KOLAM RENANG FULLY FURNISHED MEWAH DI KEMANG JAKARTA SELATAN,4,6,455,11000000000,43478261,"Kemang, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-dengan-kolam-renang-fully-furnished-mewah-di-kemang-jakarta-selatan-oleh-brian-18773364
Cilandak Kavling Polri Harga Njop 2020 Best Price,5,9,750,11000000000,10476190,"Cilandak, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-cilandak-kavling-polri-harga-njop-2020-best-price-oleh-nizar-luthfi-17854606
JUAL NGEBUT! RUMAH TOWNHOUSE JERUK PURUT DKT KEMANG SIMATUPANG FATMAWATI PONDOK INDAH,5,5,700,11000000000,17377567,"Kemang, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-jual-ngebut-rumah-townhouse-jeruk-purut-dkt-kemang-simatupang-fatmawati-pondok-indah-oleh-verly-18930163
Kebayoran Baru Termurah Dekat Haji Nawi & Mrt dalam Komplek Asri,5,7,452,11000000000,20183486,"Kebayoran Baru, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-kebayoran-baru-termurah-dekat-haji-nawi-mrt-dalam-komplek-asri-oleh-nizar-luthfi-18518635
RUMAH MINIMALIS CIPETE JAKSEL (DEKAT KEMANG & ANTASARI) DESIGN BY KIAT ARCHITECTS,5,6,400,11000000000,48458150,"CIPETE RAYA, Cipete, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-minimalis-cipete-jaksel-dekat-kemang-antasari-design-by-kiat-architects-oleh-rieza-ejoy-18610752
Cinere,6,6,750,11000000000,10576923,"Cinere, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-cinere-oleh-putri-ajeng-18939531
Rumah dijual cilandak tengah,6,7,314,11000000000,29333333,"Cilandak, Cilandak, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-dijual-cilandak-tengah-oleh-idrus-18922371
"KOSTEL 42 KAMAR DI SETIABUDI - TURUN HARGA,  Dijual Cepat",10,10,1200,11000000000,21653543,"Setiabudi, Setia Budi, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-kostel-42-kamar-di-setiabudi-turun-harga-dijual-cepat-oleh-abdurrahman-siddiq-18536338
"KOSTEL 42 KAMAR DI SETIABUDI - TURUN HARGA, Dijual Cepat",10,10,1200,11000000000,21653543,"Setiabudi, Tebet, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-kostel-42-kamar-di-setiabudi-turun-harga-dijual-cepat-oleh-abdurrahman-siddiq-18536352
RUMAH TUA TUA HITUNG TANAH GANDARIA KEBAYORAN BARU,0,1,200,11000000000,29729730,"Gandaria, Kebayoran Baru, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-tua-tua-hitung-tanah-gandaria-kebayoran-baru-oleh-raharja-hadi-bastari-18438413
Rumah baru renovasi 1 lantai di Pondok Indah,3,3,285,10900000000,35973597,"Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-baru-renovasi-1-lantai-di-pondok-indah-oleh-dian-fitria-18083812
"Pondok Indah, Rumah Siap Huni",3,3,285,10900000000,35973597,"Pondok Indah, Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-pondok-indah-rumah-siap-huni-oleh-vincent-brata-18083081
Rumah Dijual Lokasi Cinere Harga Nego,5,8,525,10900000000,16148148,"Cinere, Cinere, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-dijual-lokasi-cinere-harga-nego-oleh-raharja-hadi-bastari-18676494
Rumah Second di Hoek Unfurnished Dekat Tol dan Stasiun,4,4,500,10800000000,28421053,"jl. raya tanjung barat, Tanjung Barat, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-second-di-hoek-unfurnished-dekat-tol-dan-stasiun-oleh-ria-savitri-dewi-18921033
Dijual rumah mewah dan cantik dalam cluster di Kebagusan - Jakarta Selatan.,5,7,482,10600000000,21991701,"Kebagusan, Kebagusan, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dijual-rumah-mewah-dan-cantik-dalam-cluster-di-kebagusan-jakarta-selatan-oleh-ahmad-sauqi-18890262
Dijual Rumah Tua / Tanah Kosong Lokasi Premium Cipete,0,0,300,10560000000,24000000,"Cipete, Cinere, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dijual-rumah-tua-tanah-kosong-lokasi-premium-cipete-oleh-raharja-hadi-bastari-17607422
Rumah tua dijual cepat di Gandaria,2,2,200,10500000000,28378378,"Rumah tua dijual cepat di Gandaria Jaksel, Cilandak, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-tua-dijual-cepat-di-gandaria-oleh-widyastuti-setyaningrum-17928343
Rumah Dijual Lokasi Lebak Bulus,3,5,340,10500000000,20388350,"Lebak Bulus, Lebak Bulus, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-dijual-lokasi-lebak-bulus-oleh-raharja-hadi-bastari-18674782
Dijual Rumah Rumah  Di Cipete,3,5,310,10500000000,22678186,"Cipete, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dijual-rumah-rumah-di-cipete-oleh-dasep-18616085
Jl. Benda 2 Ciganjur,3,4,250,10500000000,23863636,"Jl. Benda 2 Ciganjur Jakarta Selatan, Ciganjur, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-jl-benda-2-ciganjur-oleh-windi-18910568
"Dijual Rumah di Tebet, LT 398M2,  Cocok Rumah / Kantor",3,4,200,10500000000,26381910,"jL. Tebet Timur Dalam, Tebet Timur, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dijual-rumah-di-tebet-lt-398m2-cocok-rumah-kantor-oleh-teddy-hermawan-17523695
"5 Bedrooms Rumah Pondok Indah, Jakarta Selatan, DKI Jakarta",3,5,365,10500000000,39772727,"Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-5-bedrooms-rumah-pondok-indah-jakarta-selatan-dki-jakarta-oleh-arie-yudha-18851799
ampera,3,4,352,10500000000,41015625,"Jl Ampera Raya, Ampera, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-ampera-oleh-agus-faisal-18267458
rumah dijual di cipete,3,4,395,10500000000,41015625,"sasak raya, Cipete, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-dijual-di-cipete-oleh-agus-faisal-18242496
Jagakarsa Layak Huni Harga Miring,4,4,600,10500000000,8083141,"Jagakarsa, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-jagakarsa-layak-huni-harga-miring-oleh-nizar-luthfi-18068988
Rumah Indent Dalam Cluster Cipete,4,4,350,10500000000,42000000,"Asem, Cipete, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-indent-dalam-cluster-cipete-oleh-abdul-hay-18101719
Dijual/Disewa Rumah 2 lt. di Tebet Jakarta Selatan,4,7,250,10500000000,55555556,"Tebet, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dijual-disewa-rumah-2-lt-di-tebet-jakarta-selatan-oleh-eko-han-18045481
Dijual Rumah Villa Delima Lebak Bulus,5,5,500,10500000000,22105263,"Lebak Bulus, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dijual-rumah-villa-delima-lebak-bulus-oleh-taufan-putra-18833253
Cilandak,5,6,460,10500000000,28767123,"Cilandak Jakarta Selatan, Cilandak, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-cilandak-oleh-ahmad-sofwan-18926650
Perumahan Cilandak,5,6,343,10500000000,42000000,"Jl. Wijaya Kusuma, Fatmawati, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-perumahan-cilandak-oleh-nurholis-18427847
Kemang Rumah Mewah Bebas Banjir Lingkungan Tenang Semi Furnished,6,6,500,10500000000,23333333,"Kemang, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-kemang-rumah-mewah-bebas-banjir-lingkungan-tenang-semi-furnished-oleh-nizar-luthfi-18669495
Rumah Mewah Hoek Bendi Raya Kebayoran Lama,0,6,750,10500000000,21000000,"Jl. Bendi Raya, Kebayoran Lama, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-mewah-hoek-bendi-raya-kebayoran-lama-oleh-widiyanto-12503468
Di Jual Cepat Rumah Lama Hitung Tanah ( BU ) NEGO BERAT KEBAYORAN BARU,1,1,300,10300000000,27837838,"Kebayoran Baru, Kebayoran Baru, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-di-jual-cepat-rumah-lama-hitung-tanah-bu-nego-berat-kebayoran-baru-oleh-ino-sutrisno-17951709
"Rumah Kos Eksklusif 21 Kamar Full Furnished Cipete Jakarta Selatan, Untuk Passive Income",10,10,500,10300000000,32389937,"Jl Damai Cipete Utara Jakarta Selatan, Cipete, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-kos-eksklusif-21-kamar-full-furnished-cipete-jakarta-selatan-untuk-passive-income-oleh-korinof-dasir-18825494
Dijual Rumah Cantik minimalis siap huni di Menteng Jakarta Selatan,1,4,175,10000000000,81300813,"Menteng, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dijual-rumah-cantik-minimalis-siap-huni-di-menteng-jakarta-selatan-oleh-wanti-16254078
Pasar Minggu,3,4,500,10000000000,12886598,"Jl. Raya Pasar Minggu, Pasar Minggu, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-pasar-minggu-oleh-maria-18918710
"Rumah Mewah Siap Huni, Lokasi Strategis, 10 Menit dari Exit Tol Simatupang",3,4,400,10000000000,18975332,"Kawasan Lebak Bulus, Lebak Bulus, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-mewah-siap-huni-lokasi-strategis-10-menit-dari-exit-tol-simatupang-oleh-bayu-widhi-handoko-18944216
Rumah Mewah Terawat di Pondok Labu,3,5,250,10000000000,20000000,"Cilandak Pondok Labu, Jakarta Selatan, Pondok Labu, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-mewah-terawat-di-pondok-labu-oleh-rinny-n-chairini-17384087
Rumah Mewah Terawat di Pondok Labu,3,5,250,10000000000,20000000,"Cilandak Pondok Labu, Jakarta Selatan, Pondok Labu, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-mewah-terawat-di-pondok-labu-oleh-rinny-n-chairini-17384087
Cipete Mpr dalam komplek Elit Harga Miring,3,3,350,10000000000,22522523,"Cipete, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-cipete-mpr-dalam-komplek-elit-harga-miring-oleh-nizar-luthfi-18446922
Cipete Saidi Rumah Terawat Best Price,3,3,300,10000000000,28985507,"Cipete, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-cipete-saidi-rumah-terawat-best-price-oleh-nizar-luthfi-18089108
Rumah Bagus Siap Huni di Cipete,3,3,231,10000000000,29761905,"Cipete, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-bagus-siap-huni-di-cipete-oleh-duta-nirwana-18275970
DIJUAL MURAH RUMAH LAMA HITUNG TANAH Di Pondok Indah Jakarta Selatan Harga Mendekati NJOP,3,3,250,10000000000,32467532,"Jl Niaga Hijau Pondok Indah Jakarta Selatan, Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dijual-murah-rumah-lama-hitung-tanah-di-pondok-indah-jakarta-selatan-harga-mendekati-njop-oleh-warsikin-asyraf-18898833
Fatmawati,3,3,432,10000000000,39062500,"Fatmawati, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-fatmawati-oleh-frid-aryudha-18884986
Fatmawati,3,3,432,10000000000,39062500,"Fatmawati, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-fatmawati-oleh-frid-aryudha-18884986
Rumah Cantik Griya Tumaritis Cilandak,3,3,400,10000000000,42194093,"Jl. Tumaritis, Cilandak, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-cantik-griya-tumaritis-cilandak-oleh-winnie-18412935
"Jual cepat! !! !  harga dibawah NJOP, Rumah Mewah  Cilandak , jakarta selatan !",4,8,670,10000000000,9523810,"Cilandak, Cilandak, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-jual-cepat-harga-dibawah-njop-rumah-mewah-cilandak-jakarta-selatan-oleh-ahmad-sauqi-18862809
Rumah di Pondok Pinang,4,5,400,10000000000,22075055,"Pondok Pinang, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-di-pondok-pinang-oleh-sherly-18930917
Rumah di Pondok Pinang,4,5,400,10000000000,22075055,"Pondok Pinang, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-di-pondok-pinang-oleh-nola-18927883
DIJUAL CEPAT RUMAH KONDISI BAIK KEMUNING PEJATEN TIMUR PASAR MINGGU! ! BESAR DAN NYAMAN! ! JARANG ADA,4,6,630,10000000000,22831050,"Jl Kemuning, Pasar Minggu, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dijual-cepat-rumah-kondisi-baik-kemuning-pejaten-timur-pasar-minggu-besar-dan-nyaman-jarang-ada-oleh-jerry-winata-18889873
BEST PRICE! ! RUMAH MEWAH at CIPETE DKT KEMANG CILANDAK FATMAWATI,4,4,250,10000000000,24691358,"Cipete, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-best-price-rumah-mewah-at-cipete-dkt-kemang-cilandak-fatmawati-oleh-verly-18922425
Rumah Cilandak Ada Swimming Pool Akses Jalan Lebar,4,8,400,10000000000,27027027,"Cilandak, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-cilandak-ada-swimming-pool-akses-jalan-lebar-oleh-rubyeta-18846277
Pondok Indah Hunian Mewah Terawat Siap Huni Hoek Utara & Timur,4,4,300,10000000000,39370079,"Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-pondok-indah-hunian-mewah-terawat-siap-huni-hoek-utara-timur-oleh-nizar-luthfi-18838690
Tebet Barat rumah siap huni jalan 3 mobil depan taman Honda lokasi strategis cocok untuk usaha.,4,5,425,10000000000,44444444,"Tebet Barat, Tebet Barat, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-tebet-barat-rumah-siap-huni-jalan-3-mobil-depan-taman-honda-lokasi-strategis-cocok-untuk-usaha-oleh-cecep-baskara-18468874
Rumah karang tengah,5,6,400,10000000000,19230769,"Lebak Bulus, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-karang-tengah-oleh-ike-juliastuti-18902438
Rumah mewah di Ragunan Jakarta selatan,5,6,450,10000000000,23809524,"Jl. Ragunan, Ragunan, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-mewah-di-ragunan-jakarta-selatan-oleh-widodo-18595308
Mampang Prapatan dalam cluster rumah bagus siap huni 2 lantai lingkungan tenang lokasi strategis,5,8,500,10000000000,25773196,"Mampang Paraptan XV, Mampang Prapatan, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-mampang-prapatan-dalam-cluster-rumah-bagus-siap-huni-2-lantai-lingkungan-tenang-lokasi-strategis-oleh-cecep-baskara-17913900
Dijual rumah di lebak bulus jakarta selatan,5,5,500,10000000000,25839793,"Lebak Bulus, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dijual-rumah-di-lebak-bulus-jakarta-selatan-oleh-rizal-18916832
Selangkah OTW Gandaria City Pondok Indah Mall Senayan City dan Mall,5,5,400,10000000000,28571429,"Gandaria, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-selangkah-otw-gandaria-city-pondok-indah-mall-senayan-city-dan-mall-oleh-minnie-maria-18787593
Rumah Brand new di gandaria,5,5,400,10000000000,28653295,"Jl Haji Raya, Gandaria, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-brand-new-di-gandaria-oleh-kirina-triyunowati-16081021
Rumah dijual cepat,7,7,750,10000000000,11904762,"Dijual Rumah Di Cinere Mas 840/750, Cirendeu, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-dijual-cepat-oleh-mirza-17417510
Dijual rumah dalam Town house modern Area kemang jakarta selatan Siap huni !,4,5,310,9950000000,47380952,"Kemang, Kemang, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dijual-rumah-dalam-town-house-modern-area-kemang-jakarta-selatan-siap-huni-oleh-ahmad-sauqi-18932282
kebayoran baru,2,3,130,9900000000,51562500,"cililin, Kebayoran Baru, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-kebayoran-baru-oleh-yudhistira-arimbawa-18791849
"Dijual Rumah di Komp. Golden Leaf Residence, Jakarta Selatan",3,6,360,9900000000,16952055,"Bintaro, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dijual-rumah-di-komp-golden-leaf-residence-jakarta-selatan-oleh-suzan-liu-18357427
Rumah Baru Minimalis Modern Lokasi Strategis Di Cipete,3,4,400,9900000000,43612335,"Kawasan Cipete, Cipete, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-baru-minimalis-modern-lokasi-strategis-di-cipete-oleh-bayu-widhi-handoko-18925181
Rumah mediterania Cipete Utara Lt. 409 m2/Lb. 500 m2. 9. 9M,4,4,500,9900000000,24205379,"Vila sawo, Cipete, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-mediterania-cipete-utara-lt-409-m2-lb-500-m2-9-9m-oleh-soni-indra-18714654
