nama_rumah,kamar_mandi,kamar_tidur,luas_m2,harga,harga_m2,alamat,link
"Pondok Indah, Rumah Baru Mewah Lokasi Prime",5,5,1000,59000000000,95161290,"Pondok Indah, Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-pondok-indah-rumah-baru-mewah-lokasi-prime-oleh-vincent-brata-18491860
Pondok Indah,7,8,1000,59000000000,54883721,"Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-pondok-indah-oleh-rito-armand-s-18927490
Pondok Indah,7,5,1050,59000000000,94400000,"Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-pondok-indah-oleh-winda-lubis-18920281
Kuningan Jakarta Selatan,3,4,500,58900000000,56309751,"Patra Kuningan, Kuningan, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-kuningan-jakarta-selatan-oleh-novi-jusmanto-e-18211435
Senopati,4,5,600,58000000000,81575246,"Mpu sendok, Senopati, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-senopati-oleh-zulvi-rosli-putra-18927341
Pondok Indah Brand New Luxury Classic Best Price,5,5,900,57000000000,91935484,"Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-pondok-indah-brand-new-luxury-classic-best-price-oleh-nizar-luthfi-18066573
Rumah Kebayoran Baru Hang Jebat iii,5,5,432,56000000000,60409924,"Hang jebat iii, Kebayoran Baru, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-kebayoran-baru-hang-jebat-iii-oleh-luzi-nadya-se-18680907
Rumah Mewah di Kebayoran Baru,2,4,600,55000000000,53554041,"mertimbang, Kebayoran Baru, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-mewah-di-kebayoran-baru-oleh-remmi-michael-15902027
ampera,4,4,500,55000000000,20000000,"ampera raya, kemang, jakarta selatan, Kemang, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-ampera-oleh-agus-faisal-18932682
"Kebayoran Baru, Rumah Bagus Lokasi Strategis",4,4,600,55000000000,53554041,"Kebayoran Baru, Kebayoran Lama, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-kebayoran-baru-rumah-bagus-lokasi-strategis-oleh-vincent-brata-16631710
Rumah Lama di Jl. Bangka Raya,5,6,600,55000000000,25629077,"Jl. Bangka Raya, Bangka, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-lama-di-jl-bangka-raya-oleh-sisie-17634985
Kemang Rumah Super Mewah Brand New Desain Modern Klasik,6,6,1200,55000000000,36666667,"Kemang, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-kemang-rumah-super-mewah-brand-new-desain-modern-klasik-oleh-nizar-luthfi-18463147
"Pondok Indah, 2lt, LT/LB 1235/690m2",6,10,690,55000000000,44534413,"Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-pondok-indah-2lt-lt-lb-1235-690m2-oleh-nola-18926405
Kebayoran baru,6,8,600,55000000000,53398058,"Kebayoran, Kebayoran Baru, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-kebayoran-baru-oleh-nelfi-tanjung-18940699
DIJUAL RUMAH PONDOK INDAH ~ LT/LB 1. 075/1. 000 ~ MODERN TROPICAL RESORT ~ DESIGN BY ANDRA MATIN ~ DAL,7,8,1000,55000000000,51162791,"Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dijual-rumah-pondok-indah-lt-lb-1-075-1-000-modern-tropical-resort-design-by-andra-matin-dal-oleh-nia-rianto-18587942
Pondok Indah Luxury House Area Premium Dekat Taman Siap Huni,6,6,1400,53000000000,62352941,"Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-pondok-indah-luxury-house-area-premium-dekat-taman-siap-huni-oleh-nizar-luthfi-18119689
