nama_rumah,kamar_mandi,kamar_tidur,luas_m2,harga,harga_m2,alamat,link,harga_kategori,harga_m2_kategori,latitude,longitude,distance,nomor,TEBET,SETIA BUDI,MAMPANG PRAPATAN,PASAR MINGGU,KEBAYORAN LAMA,CILANDAK,KEBAYORAN BARU,PANCORAN,JAGAKARSA,PESANGGRAHAN
Pondok Pinang Town House,3,3,273,5100000000,38931298,"Jalan Deplu Raya, Pondok Pinang, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-pondok-pinang-town-house-oleh-theresia-valentina-16363689,5 - 10 M,30 Juta- Max,-6.27320236307909,106.77116906650706,,968,0.12409457559774939,0.1123742689012941,0.07070560477238885,0.07575257458874951,0.03260914734095266,0.04163206701177913,0.05874482644950163,0.09032663825612985,0.11204250908350488,0.03529897685914296
Town House,4,4,240,5100000000,28491620,"Wijayakusuma, Cilandak, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-town-house-oleh-mz-i-h-s-a-n-18894716,5 - 10 M,25 - 30 Juta,-6.30182243142156,106.79626180492114,,969,0.12762190552613184,0.11590159882967654,0.0742329347007713,0.044020602227099026,0.06850496837458042,0.0120807397447793,0.06227215637788408,0.0938539681845123,0.05832970232694645,0.08901178361570139
Cipete Termurah Hitung Tanah Bonus Bangunan Dekat Abdul Majid 16jt/m,2,5,172,5000000000,16025641,"Cipete, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-cipete-termurah-hitung-tanah-bonus-bangunan-dekat-abdul-majid-16jt-m-oleh-nizar-luthfi-18858875,"3,5 - 5 M",15 - 25 Juta,-6.277569952084483,106.79880008418057,,970,0.1008311469296288,0.0891108402331735,0.04744217610426826,0.04375396790984265,0.04679076829692885,0.020567736476999166,0.03548139778138104,0.06706320958800926,0.08004390240459802,0.06729758353804982
Rumah Lama Cocok Dibangun Komersil,2,4,135,5000000000,16393443,"HUBUNGI : FITRI - WA. 0812.8003.0500, Menteng Dalam, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-lama-cocok-dibangun-komersil-oleh-fitri-hatta-18217634,"3,5 - 5 M",15 - 25 Juta,-6.239969999999971,106.84059000000008,,971,0.021441279025609994,0.030912205284471916,0.031947691799750544,0.06216002427342282,0.07004414923118674,0.09995760438101797,0.043908470122637766,0.018411886756336315,0.11235055103013991,0.09234099894297909
"Rumah Lama  di Tebet, Jakarta selatan",2,4,120,5000000000,26737968,"Tebet, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-lama-di-tebet-jakarta-selatan-oleh-sofi-n-trisno-18650282,"3,5 - 5 M",25 - 30 Juta,-6.229389999999968,106.84971000000007,,972,0.0017412790256106092,0.029452205284464128,0.05164769179974993,0.0818600242734222,0.08974414923118612,0.11965760438101736,0.06360847012263715,0.03202665831600893,0.1320505510301393,0.11204099894297848
Rumah Mewah private pool tanah luas,3,5,200,5000000000,16339869,"Jl Paso raya, Jagakarsa, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-mewah-private-pool-tanah-luas-oleh-jaelani-18472124,"3,5 - 5 M",15 - 25 Juta,-6.315882188107356,106.81550283725169,,973,0.12244062988138626,0.11072032318493097,0.06905165905602573,0.03883932658235345,0.1018057573909168,0.045381528761115675,0.08521319979754693,0.08867269253976673,0.02502891331061008,0.12231257263203776
Pejaten Barat,3,4,215,5000000000,43103448,"Jati Padang Pasar Minggu, Jati Padang, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-pejaten-barat-oleh-ahmad-sofwan-18871769,"3,5 - 5 M",30 Juta- Max,-6.285089999999967,106.82917000000003,,974,0.07798127902565,0.0662609723291947,0.04095970653290859,0.005864004174894966,0.08468073203187654,0.04341760438097797,0.06808817443850668,0.04421334168403046,0.05581055103009991,0.1051875472729975
Rumah Lama di Pajaten,4,5,200,5000000000,11876485,"Pejaten, Pejaten, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-lama-di-pajaten-oleh-indah-18656181,"3,5 - 5 M",10 - 15 Juta,-6.267599289576907,106.82680020717164,,975,0.06286036143097906,0.051140054734523765,0.021099203281458756,0.0257245074263448,0.0648202287804267,0.058538521975648905,0.04822767118705684,0.029092424089359525,0.07093146862477084,0.08532704402154767
TURUN HARGA! Rumah Mewah nyaman dan bersih. Siap Huni di Kebayoran Villas Bintaro,4,5,275,5000000000,19607843,"Kebayoran Villas Bintaro, Bintaro, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-turun-harga-rumah-mewah-nyaman-dan-bersih-siap-huni-di-kebayoran-villas-bintaro-oleh-niar-tamara-15990231,"3,5 - 5 M",15 - 25 Juta,-6.257169999999974,106.76392000000004,,976,0.11531127902564808,0.10359097232919279,0.061922308200287546,0.09903400417488051,0.023825850768851353,0.06491349659791013,0.049961529877400324,0.08154334168402855,0.13532393866963588,0.012017547273011964
"Jagakarsa, Rumah Siap Huni, Bentuk Tanah Ngantong",5,4,315,5000000000,8928571,"Jagakarsa, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-jagakarsa-rumah-siap-huni-bentuk-tanah-ngantong-oleh-nina-ika-dewandari-18803700,"3,5 - 5 M",0 - 10 Juta,-6.334499999999935,106.81966000000006,,977,0.13690127902559546,0.12518097232914016,0.08351230820023492,0.05329997572656264,0.12458073203186704,0.06815650340206592,0.10798817443849718,0.10313334168397592,0.003109448969845552,0.145087547272988
Dijual Rumah Bagus Nyaman dan Siap Huni di River park Bintaro Sektor 8,5,4,350,5000000000,16666667,"Bintaro, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dijual-rumah-bagus-nyaman-dan-siap-huni-di-river-park-bintaro-sektor-8-oleh-niar-tamara-15768409,"3,5 - 5 M",15 - 25 Juta,-6.257169999999974,106.76392000000004,,978,0.11531127902564808,0.10359097232919279,0.061922308200287546,0.09903400417488051,0.023825850768851353,0.06491349659791013,0.049961529877400324,0.08154334168402855,0.13532393866963588,0.012017547273011964
Cilandak Eksklusif Townhouse,5,5,260,5000000000,33333333,"Jl RM Harsono Ragunan, Ragunan, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-cilandak-eksklusif-townhouse-oleh-ahmad-sofwan-18833589,"3,5 - 5 M",30 Juta- Max,-6.306535884263867,106.82169418279452,,979,0.1069029804950663,0.095182673798611,0.05492977359129103,0.023301677196033488,0.09865079909025898,0.04222657046045786,0.08205824149688912,0.07313504315344677,0.028183871611267897,0.11915761433137995
"6 Bedrooms Rumah Mampang Prapatan, Jakarta Selatan, DKI Jakarta",6,6,396,5000000000,15723270,"Mampang Prapatan, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-6-bedrooms-rumah-mampang-prapatan-jakarta-selatan-dki-jakarta-oleh-muhamad-hansamu-18497056,"3,5 - 5 M",15 - 25 Juta,-6.2454799999999295,106.82593000000007,,980,0.04161127902557471,0.029890972329119414,0.011777691799785828,0.048714004174895464,0.04987414923122202,0.07978760438105326,0.025238174438506178,0.02756188675638427,0.0921805510301752,0.07217099894301438
"[For Sale] Exclusive Townhouse at Kemang, Jakarta Selatan",4,5,247,4950000000,49009901,"Kemang, Kemang, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-for-sale-exclusive-townhouse-at-kemang-jakarta-selatan-oleh-fathia-thalib-s-i-kom-18458574,"3,5 - 5 M",30 Juta- Max,-6.255639999999971,106.81218000000008,,981,0.0655212790256039,0.0538009723291486,0.012132308200243358,0.05230400417484127,0.038240732031930236,0.05587760438102407,0.021648174438560375,0.03175334168398436,0.08859393866959664,0.058747547273051204
